Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"150", 4.16, 1,    2401.74,    0.0,   0.99998, 2,    2401.75, -120.0,   0.99999, 3,    2401.75,  120.0,   0.99999
"150R", 4.16, 1,    2521.81,    0.0,      1.05, 2,    2521.83, -120.0,      1.05, 3,    2521.83,  120.0,      1.05
"149", 4.16, 1,    2521.81,    0.0,      1.05, 2,    2521.83, -120.0,      1.05, 3,    2521.83,  120.0,      1.05
"1", 4.16, 1,    2480.41,   -0.8,    1.0327, 2,    2512.96, -120.4,    1.0463, 3,    2492.24,  119.5,    1.0377
"2", 4.16, 2,    2512.27, -120.4,     1.046, 0, 0, 0, 0, 0, 0, 0, 0
"3", 4.16, 3,     2487.1,  119.5,    1.0355, 0, 0, 0, 0, 0, 0, 0, 0
"7", 4.16, 1,     2449.6,   -1.4,    1.0199, 2,    2506.63, -120.7,    1.0437, 3,    2473.03,  119.2,    1.0297
"4", 4.16, 3,    2485.52,  119.5,    1.0349, 0, 0, 0, 0, 0, 0, 0, 0
"5", 4.16, 3,    2483.01,  119.5,    1.0338, 0, 0, 0, 0, 0, 0, 0, 0
"6", 4.16, 3,    2480.88,  119.4,    1.0329, 0, 0, 0, 0, 0, 0, 0, 0
"8", 4.16, 1,    2429.61,   -1.8,    1.0116, 2,    2502.23, -120.9,    1.0418, 3,     2460.3,  119.0,    1.0244
"12", 4.16, 2,    2501.34, -120.9,    1.0415, 0, 0, 0, 0, 0, 0, 0, 0
"9", 4.16, 1,    2424.99,   -1.8,    1.0097, 0, 0, 0, 0, 0, 0, 0, 0
"13", 4.16, 1,    2402.98,   -2.3,    1.0005, 2,    2494.52, -121.2,    1.0386, 3,    2441.26,  118.7,    1.0164
"9R", 4.16, 1,    2424.98,   -1.8,    1.0097, 0, 0, 0, 0, 0, 0, 0, 0
"14", 4.16, 1,    2419.72,   -1.9,    1.0075, 0, 0, 0, 0, 0, 0, 0, 0
"34", 4.16, 3,    2438.19,  118.6,    1.0152, 0, 0, 0, 0, 0, 0, 0, 0
"18", 4.16, 1,    2374.72,   -2.9,   0.98873, 2,    2481.52, -121.5,    1.0332, 3,     2418.2,  118.6,    1.0068
"11", 4.16, 1,    2417.65,   -1.9,    1.0066, 0, 0, 0, 0, 0, 0, 0, 0
"10", 4.16, 1,    2418.69,   -1.9,     1.007, 0, 0, 0, 0, 0, 0, 0, 0
"15", 4.16, 3,    2436.97,  118.6,    1.0147, 0, 0, 0, 0, 0, 0, 0, 0
"16", 4.16, 3,    2433.93,  118.6,    1.0134, 0, 0, 0, 0, 0, 0, 0, 0
"17", 4.16, 3,    2435.55,  118.6,    1.0141, 0, 0, 0, 0, 0, 0, 0, 0
"19", 4.16, 1,    2370.58,   -2.9,   0.98701, 0, 0, 0, 0, 0, 0, 0, 0
"21", 4.16, 1,       2373,   -3.0,   0.98802, 2,    2481.68, -121.5,    1.0333, 3,    2414.54,  118.5,    1.0053
"20", 4.16, 1,    2367.91,   -2.9,    0.9859, 0, 0, 0, 0, 0, 0, 0, 0
"22", 4.16, 2,    2477.23, -121.6,    1.0314, 0, 0, 0, 0, 0, 0, 0, 0
"23", 4.16, 1,     2371.7,   -3.0,   0.98748, 2,    2482.87, -121.5,    1.0338, 3,    2411.03,  118.5,    1.0039
"24", 4.16, 3,    2406.52,  118.5,     1.002, 0, 0, 0, 0, 0, 0, 0, 0
"25", 4.16, 1,    2369.62,   -3.1,   0.98661, 2,    2484.28, -121.5,    1.0344, 3,    2408.29,  118.5,    1.0027
"25R", 4.16, 1,    2414.05,   -3.1,    1.0051, 3,    2408.28,  118.5,    1.0027, 0, 0, 0, 0
"26", 4.16, 1,    2413.26,   -3.1,    1.0048, 3,    2406.74,  118.5,    1.0021, 0, 0, 0, 0
"28", 4.16, 1,    2368.48,   -3.1,   0.98614, 2,    2484.99, -121.5,    1.0346, 3,    2407.23,  118.5,    1.0023
"27", 4.16, 1,    2412.13,   -3.2,    1.0043, 3,    2406.65,  118.5,     1.002, 0, 0, 0, 0
"31", 4.16, 3,     2404.9,  118.5,    1.0013, 0, 0, 0, 0, 0, 0, 0, 0
"33", 4.16, 1,    2408.02,   -3.2,    1.0026, 0, 0, 0, 0, 0, 0, 0, 0
"29", 4.16, 1,    2367.98,   -3.2,   0.98593, 2,    2485.45, -121.5,    1.0348, 3,    2405.83,  118.5,    1.0017
"30", 4.16, 1,     2368.8,   -3.2,   0.98627, 2,    2485.32, -121.5,    1.0348, 3,     2404.4,  118.5,    1.0011
"250", 4.16, 1,     2368.8,   -3.2,   0.98627, 2,    2485.32, -121.5,    1.0348, 3,     2404.4,  118.5,    1.0011
"32", 4.16, 3,    2403.67,  118.5,    1.0008, 0, 0, 0, 0, 0, 0, 0, 0
"35", 4.16, 1,    2366.05,   -3.0,   0.98512, 2,    2473.54, -121.6,    1.0299, 3,    2414.92,  118.5,    1.0055
"36", 4.16, 1,    2363.16,   -3.0,   0.98392, 2,    2472.07, -121.7,    1.0293, 0, 0, 0, 0
"40", 4.16, 1,    2361.29,   -3.0,   0.98314, 2,    2469.96, -121.7,    1.0284, 3,    2411.67,  118.4,    1.0041
"37", 4.16, 1,    2360.73,   -3.0,   0.98291, 0, 0, 0, 0, 0, 0, 0, 0
"38", 4.16, 2,    2470.04, -121.7,    1.0284, 0, 0, 0, 0, 0, 0, 0, 0
"39", 4.16, 2,    2468.75, -121.7,    1.0279, 0, 0, 0, 0, 0, 0, 0, 0
"41", 4.16, 3,    2410.34,  118.4,    1.0036, 0, 0, 0, 0, 0, 0, 0, 0
"42", 4.16, 1,     2356.3,   -3.1,   0.98107, 2,    2466.44, -121.8,    1.0269, 3,    2408.93,  118.4,     1.003
"43", 4.16, 2,    2462.22, -121.8,    1.0252, 0, 0, 0, 0, 0, 0, 0, 0
"44", 4.16, 1,    2352.88,   -3.1,   0.97964, 2,    2464.22, -121.8,     1.026, 3,    2406.36,  118.3,    1.0019
"45", 4.16, 1,    2351.22,   -3.1,   0.97895, 0, 0, 0, 0, 0, 0, 0, 0
"47", 4.16, 1,    2349.64,   -3.2,   0.97829, 2,    2460.86, -121.9,    1.0246, 3,    2403.25,  118.3,    1.0006
"46", 4.16, 1,    2349.96,   -3.2,   0.97843, 0, 0, 0, 0, 0, 0, 0, 0
"48", 4.16, 1,    2348.79,   -3.2,   0.97794, 2,    2459.95, -121.9,    1.0242, 3,    2402.57,  118.3,    1.0003
"49", 4.16, 1,    2348.77,   -3.2,   0.97793, 2,    2459.14, -121.9,    1.0239, 3,    2402.25,  118.3,    1.0002
"50", 4.16, 1,     2348.7,   -3.2,    0.9779, 2,    2459.23, -121.9,    1.0239, 3,    2401.18,  118.2,   0.99975
"51", 4.16, 1,    2348.18,   -3.2,   0.97768, 2,    2459.48, -121.9,     1.024, 3,    2401.14,  118.2,   0.99973
"151", 4.16, 1,    2348.18,   -3.2,   0.97768, 2,    2459.48, -121.9,     1.024, 3,    2401.14,  118.2,   0.99973
"52", 4.16, 1,    2382.14,   -2.8,   0.99182, 2,    2489.49, -121.5,    1.0365, 3,    2429.31,  118.4,    1.0115
"53", 4.16, 1,    2372.61,   -3.0,   0.98785, 2,    2486.53, -121.7,    1.0353, 3,    2423.43,  118.2,     1.009
"54", 4.16, 1,    2367.18,   -3.2,    0.9856, 2,    2484.39, -121.8,    1.0344, 3,     2419.8,  118.1,    1.0075
"55", 4.16, 1,    2366.53,   -3.2,   0.98532, 2,    2484.17, -121.8,    1.0343, 3,    2420.02,  118.1,    1.0076
"57", 4.16, 1,    2355.55,   -3.6,   0.98075, 2,    2474.47, -122.0,    1.0303, 3,    2410.32,  117.8,    1.0036
"56", 4.16, 1,    2366.43,   -3.2,   0.98528, 2,    2483.63, -121.8,    1.0341, 3,    2420.28,  118.1,    1.0077
"58", 4.16, 2,    2472.44, -122.0,    1.0294, 0, 0, 0, 0, 0, 0, 0, 0
"60", 4.16, 1,    2331.33,   -4.4,   0.97067, 2,    2456.36, -122.5,    1.0227, 3,    2388.42,  117.3,   0.99444
"59", 4.16, 2,    2471.45, -122.0,     1.029, 0, 0, 0, 0, 0, 0, 0, 0
"61", 4.16, 1,    2331.33,   -4.4,   0.97067, 2,    2456.36, -122.5,    1.0227, 3,    2388.42,  117.3,   0.99444
"62", 4.16, 1,    2328.91,   -4.4,   0.96966, 2,    2452.84, -122.4,    1.0213, 3,    2382.01,  117.3,   0.99177
"63", 4.16, 1,    2327.01,   -4.4,   0.96887, 2,    2450.14, -122.4,    1.0201, 3,    2378.87,  117.2,   0.99046
"64", 4.16, 1,    2326.02,   -4.4,   0.96846, 2,    2444.28, -122.4,    1.0177, 3,    2372.08,  117.2,   0.98764
"65", 4.16, 1,    2323.92,   -4.4,   0.96758, 2,    2443.26, -122.3,    1.0173, 3,    2362.67,  117.2,   0.98372
"66", 4.16, 1,    2324.68,   -4.4,    0.9679, 2,    2444.02, -122.3,    1.0176, 3,     2357.9,  117.2,   0.98173
"67", 4.16, 1,    2498.88,   -4.7,    1.0404, 2,    2513.65, -122.7,    1.0466, 3,    2484.94,  117.1,    1.0346
"68", 4.16, 1,    2494.12,   -4.8,    1.0384, 0, 0, 0, 0, 0, 0, 0, 0
"72", 4.16, 1,       2499,   -4.9,    1.0405, 2,    2509.92, -122.8,     1.045, 3,    2483.27,  117.0,    1.0339
"97", 4.16, 1,    2495.75,   -4.8,    1.0391, 2,    2512.11, -122.7,    1.0459, 3,    2482.67,  117.1,    1.0337
"69", 4.16, 1,    2488.67,   -4.8,    1.0362, 0, 0, 0, 0, 0, 0, 0, 0
"70", 4.16, 1,    2484.79,   -4.9,    1.0346, 0, 0, 0, 0, 0, 0, 0, 0
"71", 4.16, 1,    2482.61,   -4.9,    1.0337, 0, 0, 0, 0, 0, 0, 0, 0
"73", 4.16, 3,    2476.55,  116.9,    1.0311, 0, 0, 0, 0, 0, 0, 0, 0
"76", 4.16, 1,    2497.91,   -4.9,      1.04, 2,    2507.61, -122.9,    1.0441, 3,    2484.48,  116.9,    1.0344
"74", 4.16, 3,    2470.79,  116.9,    1.0287, 0, 0, 0, 0, 0, 0, 0, 0
