Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"150", 4.16, 1,    2401.48,    0.0,   0.99988, 2,    2401.39, -120.0,   0.99984, 3,    2401.75,  120.0,   0.99999
"150R", 4.16, 1,    2641.51,    0.0,    1.0998, 2,    2641.38, -120.0,    1.0998, 3,    2641.92,  120.0,       1.1
"149", 4.16, 1,    2641.51,    0.0,    1.0998, 2,    2641.38, -120.0,    1.0998, 3,    2641.92,  120.0,       1.1
"1", 4.16, 1,    2428.25,    0.1,     1.011, 2,    2454.53, -120.1,     1.022, 3,       2678,  119.6,     1.115
"2", 4.16, 2,    2453.88, -120.1,    1.0217, 0, 0, 0, 0, 0, 0, 0, 0
"3", 4.16, 3,    2672.97,  119.6,    1.1129, 0, 0, 0, 0, 0, 0, 0, 0
"7", 4.16, 1,    2268.21,    0.2,   0.94439, 2,    2314.63, -120.2,   0.96372, 3,    2707.96,  119.4,    1.1275
"4", 4.16, 3,    2671.44,  119.6,    1.1123, 0, 0, 0, 0, 0, 0, 0, 0
"5", 4.16, 3,    2668.92,  119.5,    1.1112, 0, 0, 0, 0, 0, 0, 0, 0
"6", 4.16, 3,    2666.82,  119.5,    1.1104, 0, 0, 0, 0, 0, 0, 0, 0
"8", 4.16, 1,    2161.91,    0.3,   0.90013, 2,    2221.15, -120.2,   0.92479, 3,    2728.01,  119.2,    1.1358
"12", 4.16, 2,    2220.28, -120.3,   0.92443, 0, 0, 0, 0, 0, 0, 0, 0
"9", 4.16, 1,    2157.43,    0.3,   0.89826, 0, 0, 0, 0, 0, 0, 0, 0
"13", 4.16, 1,    2005.56,    0.6,   0.83503, 2,     2079.8, -120.3,   0.86594, 3,    2758.14,  118.9,    1.1484
"9R", 4.16, 1,    2373.17,    0.3,   0.98809, 0, 0, 0, 0, 0, 0, 0, 0
"14", 4.16, 1,    2368.38,    0.3,   0.98609, 0, 0, 0, 0, 0, 0, 0, 0
"34", 4.16, 3,    2755.06,  118.9,    1.1471, 0, 0, 0, 0, 0, 0, 0, 0
"18", 4.16, 1,    1988.28,    0.2,   0.82784, 2,    2071.73, -120.4,   0.86258, 3,    2737.72,  118.9,    1.1399
"11", 4.16, 1,    2366.51,    0.2,   0.98531, 0, 0, 0, 0, 0, 0, 0, 0
"10", 4.16, 1,    2367.43,    0.3,    0.9857, 0, 0, 0, 0, 0, 0, 0, 0
"15", 4.16, 3,    2753.88,  118.9,    1.1466, 0, 0, 0, 0, 0, 0, 0, 0
"16", 4.16, 3,    2750.92,  118.9,    1.1454, 0, 0, 0, 0, 0, 0, 0, 0
"17", 4.16, 3,    2752.49,  118.9,     1.146, 0, 0, 0, 0, 0, 0, 0, 0
"19", 4.16, 1,    1984.93,    0.1,   0.82644, 0, 0, 0, 0, 0, 0, 0, 0
"21", 4.16, 1,    1988.04,    0.2,   0.82774, 2,    2072.91, -120.3,   0.86307, 3,    2735.57,  118.9,     1.139
"20", 4.16, 1,    1982.81,    0.1,   0.82556, 0, 0, 0, 0, 0, 0, 0, 0
"22", 4.16, 2,    2069.48, -120.3,   0.86164, 0, 0, 0, 0, 0, 0, 0, 0
"23", 4.16, 1,    1987.93,    0.1,   0.82769, 2,    2074.72, -120.2,   0.86383, 3,    2733.41,  119.0,    1.1381
"24", 4.16, 3,    2729.11,  118.9,    1.1363, 0, 0, 0, 0, 0, 0, 0, 0
"25", 4.16, 1,    1987.21,    0.1,   0.82739, 2,     2076.8, -120.1,   0.86469, 3,    2732.12,  119.0,    1.1375
"25R", 4.16, 1,    2185.92,    0.1,   0.91013, 3,     2458.9,  119.0,    1.0238, 0, 0, 0, 0
"26", 4.16, 1,    2185.23,    0.1,   0.90984, 3,    2457.48,  119.0,    1.0232, 0, 0, 0, 0
"28", 4.16, 1,    1987.09,    0.1,   0.82734, 2,    2077.99, -120.1,   0.86519, 3,    2731.98,  119.0,    1.1375
"27", 4.16, 1,    2184.24,    0.1,   0.90943, 3,    2457.38,  119.0,    1.0232, 0, 0, 0, 0
"31", 4.16, 3,    2455.82,  119.0,    1.0225, 0, 0, 0, 0, 0, 0, 0, 0
"33", 4.16, 1,    2180.62,    0.0,   0.90792, 0, 0, 0, 0, 0, 0, 0, 0
"29", 4.16, 1,    1987.88,    0.2,   0.82767, 2,    2079.31, -120.0,   0.86574, 3,    2731.94,  119.0,    1.1375
"30", 4.16, 1,     1989.9,    0.2,   0.82851, 2,    2080.31, -119.9,   0.86616, 3,    2732.09,  119.1,    1.1375
"250", 4.16, 1,    1990.61,    0.3,   0.82881, 2,    2080.96, -119.8,   0.86642, 3,    2732.95,  119.1,    1.1379
"32", 4.16, 3,     2454.7,  119.0,     1.022, 0, 0, 0, 0, 0, 0, 0, 0
"35", 4.16, 1,    1982.14,    0.1,   0.82528, 2,    2064.97, -120.5,   0.85977, 3,    2733.38,  118.8,    1.1381
"36", 4.16, 1,    1979.92,    0.0,   0.82436, 2,    2063.61, -120.5,    0.8592, 0, 0, 0, 0
"40", 4.16, 1,    1978.86,    0.0,   0.82392, 2,    2061.98, -120.5,   0.85852, 3,    2729.61,  118.8,    1.1365
"37", 4.16, 1,    1978.04,    0.0,   0.82357, 0, 0, 0, 0, 0, 0, 0, 0
"38", 4.16, 2,    2061.87, -120.5,   0.85848, 0, 0, 0, 0, 0, 0, 0, 0
"39", 4.16, 2,    2060.71, -120.6,   0.85799, 0, 0, 0, 0, 0, 0, 0, 0
