Bus,Encoding,Old_Encoding,Oldest_Encoding
P1,0,0,0
P2,1,1,1
P3,2,2,2
P7,3,3,3
P6,2,2,4
P11,4,4,5
P27,5,5,6
P44,6,6,7
P45,7,7,8
P62,8,8,9
P10,3,9,10
P81,9,10,11
P97,10,11,12
P116,11,12,13
P117,12,13,14
P134,13,14,15
P12,4,4,5
P13,14,15,16
P14,15,16,17
P15,14,15,18
P16,16,17,19
P17,17,18,20
P18,14,19,21
P19,18,20,22
P20,14,19,23
P21,19,21,24
P22,20,22,25
P23,14,23,26
P24,21,24,27
P25,14,23,28
P26,22,25,29
P28,5,5,6
P29,14,15,30
P30,23,26,31
P31,14,15,32
P32,24,27,33
P33,14,19,34
P34,25,28,35
P35,14,19,36
P36,26,29,37
P37,14,19,38
P38,27,30,39
P39,14,23,40
P40,28,31,41
P41,29,32,42
P42,14,23,43
P43,30,33,44
P46,7,7,8
P47,14,34,45
P48,31,35,46
P49,14,34,47
P50,32,36,48
P51,14,34,49
P52,33,37,50
P53,14,38,51
P54,34,39,52
P55,35,40,53
P56,36,41,54
P57,14,42,55
P58,37,43,56
P59,14,42,57
P60,38,44,58
P61,39,45,59
P63,8,8,9
P64,14,34,60
P65,40,46,61
P66,14,34,62
P67,41,47,63
P68,14,34,64
P69,42,48,65
P70,14,38,66
P71,43,49,67
P72,14,38,68
P73,44,50,69
P74,45,51,70
P75,14,38,71
P76,46,52,72
P77,14,42,73
P78,47,53,74
P79,14,42,75
P80,48,54,76
P82,9,10,11
P83,14,55,77
P84,49,56,78
P85,14,55,79
P86,50,57,80
P87,51,58,81
P88,14,59,82
P89,52,60,83
P90,14,59,84
P91,53,61,85
P92,54,62,86
P93,14,63,87
P94,55,64,88
P95,14,63,89
P96,56,65,90
P98,10,11,12
P99,14,55,91
P100,57,66,92
P101,14,55,93
P102,58,67,94
P103,14,59,95
P104,59,68,96
P105,14,59,97
P106,60,69,98
P107,61,70,99
P108,14,59,100
P109,62,71,101
P110,14,63,102
P111,63,72,103
P112,14,63,104
P113,64,73,105
P114,14,63,106
P115,65,74,107
P118,12,13,14
P119,14,75,108
P120,66,76,109
P121,14,75,110
P122,67,77,111
P123,14,75,112
P124,68,78,113
P125,14,79,114
P126,69,80,115
P127,14,79,116
P128,70,81,117
P129,14,82,118
P130,71,83,119
P131,72,84,120
P132,14,82,121
P133,73,85,122
P135,13,14,15
P136,14,75,123
P137,74,86,124
P138,14,75,125
P139,75,87,126
P140,76,88,127
P141,14,79,128
P142,77,89,129
P143,14,79,130
P144,78,90,131
P145,79,91,132
P146,80,92,133
P147,14,82,134
P148,81,93,135
P149,14,82,136
P150,82,94,137
S194,29,32,42
S193,83,95,138
S195,63,72,103
S199,39,45,59
S198,84,96,139
S200,72,84,120
S204,20,22,25
S203,85,97,140
S205,45,51,70
S206,78,90,131
S211,46,52,72
S210,86,98,141
S212,54,62,86
S213,80,92,133
S218,25,28,35
S217,87,99,142
S219,35,40,53
S220,61,70,99
S225,34,39,52
S224,88,100,143
S226,59,68,96
S227,68,78,113
S232,42,48,65
S231,89,101,144
S233,75,87,126
S237,16,17,19
S236,90,102,145
S239,51,58,81
S1,91,103,146
S2,92,104,147
S3,93,105,148
S4,73,85,122
S5,94,106,149
S6,95,107,150
S7,96,108,151
S8,97,109,152
S9,56,65,90
S10,98,110,153
S11,99,111,154
S12,100,112,155
S13,101,113,156
S14,38,44,58
S15,102,114,157
S16,103,115,158
S17,104,116,159
S18,105,117,160
S19,22,25,29
S20,106,118,161
S21,107,119,162
S42,108,120,163
S43,109,121,164
S44,55,64,88
S45,70,81,117
S46,110,122,165
S47,111,123,166
S48,112,124,167
S49,81,93,135
S50,44,50,69
S51,113,125,168
S52,114,126,169
S53,115,127,170
S54,21,24,27
S55,79,91,132
S56,116,128,171
S57,117,129,172
S58,118,130,173
S59,47,53,74
S60,27,30,39
S61,119,131,174
S62,120,132,175
S83,121,133,176
S84,122,134,177
S85,36,41,54
S86,74,86,124
S87,123,135,178
S88,124,136,179
S89,125,137,180
S90,77,89,129
S91,32,36,48
S92,126,138,181
S93,127,139,182
S94,128,140,183
S95,18,20,22
S96,58,67,94
S97,129,141,184
S98,130,142,185
S99,131,143,186
S100,33,37,50
S101,76,88,127
S102,132,144,187
S103,133,145,188
S124,134,146,189
S125,135,147,190
S126,40,46,61
S127,136,148,191
S128,137,149,192
S129,138,150,193
S130,139,151,194
S131,31,35,46
S132,140,152,195
S133,141,153,196
S134,142,154,197
S135,143,155,198
S136,23,26,31
S137,144,156,199
S138,145,157,200
S139,146,158,201
S140,147,159,202
S141,24,27,33
S142,148,160,203
S143,149,161,204
S144,150,162,205
S22,151,163,206
S27,82,94,137
S32,152,164,207
S37,153,165,208
S63,154,166,209
S68,62,71,101
S73,155,167,210
S78,156,168,211
S104,157,169,212
S109,17,18,20
S114,158,170,213
S119,159,171,214
S23,160,172,215
S28,65,74,107
S33,64,73,105
S38,161,173,216
S64,162,174,217
S69,19,21,24
S74,69,80,115
S79,163,175,218
S105,164,176,219
S110,67,77,111
S115,66,76,109
S120,165,177,220
S24,166,178,221
S29,48,54,76
S34,71,83,119
S39,167,179,222
S65,168,180,223
S70,53,61,85
S75,60,69,98
S80,169,181,224
S106,170,182,225
S111,50,57,80
S116,57,66,92
S121,171,183,226
S25,172,184,227
S30,30,33,44
S35,28,31,41
S40,173,185,228
S66,174,186,229
S71,52,60,83
S76,26,29,37
S81,175,187,230
S107,176,188,231
S112,15,16,17
S117,41,47,63
S122,177,189,232
S26,178,190,233
S31,179,191,234
S36,37,43,56
S41,180,192,235
S67,181,193,236
S72,182,194,237
S77,43,49,67
S82,183,195,238
S108,184,196,239
S113,185,197,240
S118,49,56,78
S123,186,198,241
P4,2,2,2
P5,2,2,2
P8,3,3,3
P9,3,3,3
S148,82,94,137
S145,73,85,122
S152,65,74,107
S149,56,65,90
S156,48,54,76
S153,38,44,58
S160,30,33,44
S157,22,25,29
S147,55,64,88
S146,64,73,105
S151,81,93,135
S150,71,83,119
S155,21,24,27
S154,28,31,41
S159,47,53,74
S158,37,43,56
S164,62,71,101
S161,70,81,117
S168,19,21,24
S165,44,50,69
S172,53,61,85
