Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"P1", 230, 1,     139360,    0.0,    1.0495, 2,     139383, -120.0,    1.0496, 3,     139380,  120.0,    1.0496
"P2", 230, 1,     139354,    0.0,    1.0494, 2,     139380, -120.0,    1.0496, 3,     139376,  120.0,    1.0496
"P3", 230, 1,     139352,    0.0,    1.0494, 2,     139378, -120.0,    1.0496, 3,     139375,  120.0,    1.0496
"P7", 230, 1,     139351,    0.0,    1.0494, 2,     139378, -120.0,    1.0496, 3,     139374,  120.0,    1.0496
"P6", 13.8, 1,    7756.59,   -1.5,   0.97354, 2,    7947.51, -120.6,    0.9975, 3,    7957.55,  117.8,   0.99876
"P11", 13.8, 1,    7755.14,   -1.5,   0.97335, 2,    7947.05, -120.6,   0.99744, 3,    7956.21,  117.8,   0.99859
"P27", 13.8, 1,    7756.26,   -1.5,    0.9735, 2,    7947.18, -120.6,   0.99746, 3,    7957.21,  117.8,   0.99872
"P44", 13.8, 1,    7756.26,   -1.5,    0.9735, 2,    7947.19, -120.6,   0.99746, 3,    7957.21,  117.8,   0.99872
"P45", 13.8, 1,    7756.09,   -1.5,   0.97347, 2,    7947.02, -120.6,   0.99744, 3,    7957.03,  117.8,   0.99869
"P62", 13.8, 1,    7756.11,   -1.5,   0.97348, 2,    7947.05, -120.6,   0.99744, 3,    7957.05,  117.8,    0.9987
"P10", 13.8, 1,     7746.4,   -1.5,   0.97226, 2,    7942.12, -120.6,   0.99682, 3,    7949.18,  117.8,   0.99771
"P81", 13.8, 1,    7744.93,   -1.4,   0.97207, 2,    7941.65, -120.6,   0.99676, 3,    7947.81,  117.8,   0.99754
"P97", 13.8, 1,    7746.02,   -1.5,   0.97221, 2,    7941.75, -120.6,   0.99678, 3,    7948.81,  117.8,   0.99766
"P116", 13.8, 1,    7746.08,   -1.5,   0.97222, 2,    7941.81, -120.6,   0.99678, 3,    7948.86,  117.8,   0.99767
"P117", 13.8, 1,    7745.93,   -1.5,    0.9722, 2,    7941.66, -120.6,   0.99676, 3,     7948.7,  117.8,   0.99765
"P134", 13.8, 1,    7745.93,   -1.5,    0.9722, 2,    7941.66, -120.6,   0.99677, 3,    7948.69,  117.8,   0.99765
"P12", 13.8, 1,    7755.14,   -1.5,   0.97335, 2,    7947.04, -120.6,   0.99744, 3,    7956.21,  117.8,   0.99859
"P13", 13.8, 1,    7682.79,   -0.9,   0.96427, 2,    7923.84, -120.2,   0.99453, 3,    7889.59,  118.0,   0.99023
"P14", 13.8, 1,     7682.7,   -0.9,   0.96426, 2,    7923.75, -120.2,   0.99452, 3,    7889.51,  118.0,   0.99022
"P15", 13.8, 1,    7680.01,   -0.9,   0.96393, 2,    7923.02, -120.2,   0.99443, 3,    7887.02,  118.0,   0.98991
"P16", 13.8, 1,     7677.7,   -0.8,   0.96364, 2,    7922.67, -120.1,   0.99438, 3,    7884.88,  118.0,   0.98964
"P17", 13.8, 1,    7677.63,   -0.8,   0.96363, 2,    7922.59, -120.1,   0.99437, 3,    7884.81,  118.0,   0.98963
"P18", 13.8, 1,    7679.54,   -0.9,   0.96387, 2,    7922.55, -120.2,   0.99437, 3,    7886.58,  118.0,   0.98985
"P19", 13.8, 1,    7679.44,   -0.9,   0.96385, 2,    7922.45, -120.2,   0.99435, 3,    7886.49,  118.0,   0.98984
