Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"SOURCEBUS", 69, 1,    41827.1,   30.0,      1.05, 2,    41827.5,  -90.0,      1.05, 3,    41828.9,  150.0,      1.05
"800", 24.9, 1,    15094.2,    0.0,      1.05, 2,    15093.4, -120.0,    1.0499, 3,    15094.6,  120.0,      1.05
"802", 24.9, 1,    14876.9,    0.0,    1.0348, 2,    14872.8, -120.1,    1.0346, 3,    15121.6,  120.0,    1.0519
"806", 24.9, 1,      14731,   -0.1,    1.0247, 2,    14725.6, -120.1,    1.0243, 3,    15140.1,  120.0,    1.0532
"808", 24.9, 1,    12010.3,   -0.7,   0.83544, 2,    12002.1, -121.4,   0.83487, 3,    15492.8,  120.4,    1.0777
"810", 24.9, 2,    11999.2, -121.4,   0.83466, 0, 0, 0, 0, 0, 0, 0, 0
"812", 24.9, 1,    8846.37,   -1.8,   0.61536, 2,    8863.95, -123.8,   0.61658, 3,    15894.5,  120.9,    1.1056
"814", 24.9, 1,    6341.37,   -3.6,   0.44111, 2,    6394.89, -127.3,   0.44483, 3,    16210.5,  121.3,    1.1276
"814R", 24.9, 1,    6954.68,   -3.8,   0.48377, 2,    7001.08, -127.4,     0.487, 3,    14791.1,  121.3,    1.0289
"850", 24.9, 1,    6953.64,   -3.8,    0.4837, 2,    7000.08, -127.4,   0.48693, 3,    14791.2,  121.3,    1.0289
"816", 24.9, 1,    6921.48,   -3.8,   0.48146, 2,    6968.91, -127.4,   0.48476, 3,    14793.8,  121.3,    1.0291
"818", 24.9, 1,    6914.01,   -3.8,   0.48094, 0, 0, 0, 0, 0, 0, 0, 0
"824", 24.9, 1,    5895.14,   -3.8,   0.41007, 2,    5932.94, -127.4,    0.4127, 3,    14878.1,  121.4,    1.0349
"820", 24.9, 1,    6724.05,   -3.9,   0.46773, 0, 0, 0, 0, 0, 0, 0, 0
"822", 24.9, 1,     6699.8,   -3.9,   0.46604, 0, 0, 0, 0, 0, 0, 0, 0
"826", 24.9, 2,    5931.54, -127.4,    0.4126, 0, 0, 0, 0, 0, 0, 0, 0
"828", 24.9, 1,    5810.71,   -3.8,   0.40419, 2,    5848.29, -127.4,   0.40681, 3,      14885,  121.4,    1.0354
"830", 24.9, 1,    3756.86,   -3.6,   0.26133, 2,    3788.21, -127.4,   0.26351, 3,    15053.4,  121.6,    1.0471
"854", 24.9, 1,    3704.78,   -3.6,   0.25771, 2,    3735.85, -127.4,   0.25987, 3,    15057.9,  121.6,    1.0474
"832", 24.9, 1,  0.0336054,   89.3, 2.3376E-006, 2,  0.0476124,  151.2, 3.3119E-006, 3,    14892.9,  121.9,     1.036
"858", 24.9, 1,    14.1731,   92.3, 0.00098588, 2,    9.00763,   81.1, 0.00062657, 3,    14866.1,  121.8,    1.0341
"834", 24.9, 1,    30.5622,   91.9, 0.0021259, 2,    19.2669,   79.8, 0.0013402, 3,    14835.5,  121.7,     1.032
"860", 24.9, 1,    32.2864,   93.0, 0.0022458, 2,    19.7897,   80.6, 0.0013766, 3,    14829.3,  121.7,    1.0315
"842", 24.9, 1,    30.9367,   91.5,  0.002152, 2,    19.6456,   79.5, 0.0013666, 3,    14835.2,  121.7,    1.0319
"836", 24.9, 1,    32.7881,   93.2, 0.0022807, 2,    20.3671,   81.7, 0.0014167, 3,    14826.5,  121.7,    1.0313
"840", 24.9, 1,    32.7364,   93.1, 0.0022772, 2,    20.4218,   81.7, 0.0014205, 3,      14826,  121.7,    1.0313
"862", 24.9, 1,     32.788,   93.2, 0.0022807, 2,    20.3666,   81.7, 0.0014167, 3,    14826.5,  121.7,    1.0313
"844", 24.9, 1,    32.7582,   89.9, 0.0022787, 2,    21.4777,   78.3,  0.001494, 3,    14833.5,  121.7,    1.0318
"846", 24.9, 1,    38.2251,   91.0, 0.0026589, 2,    26.4314,   82.0, 0.0018386, 3,    14840.4,  121.6,    1.0323
"848", 24.9, 1,    39.0424,   91.3, 0.0027158, 2,    27.1728,   82.6, 0.0018902, 3,    14841.6,  121.6,    1.0324
"852R", 24.9, 1,  0.0214465,  -17.3, 1.4918E-006, 2,  0.0261273, -165.8, 1.8174E-006, 3,      14893,  121.9,     1.036
"888", 4.16, 1,    44.6262,  165.7,   0.01858, 2,     44.538,  165.6,  0.018544, 3,    2444.23,  122.0,    1.0177
"856", 24.9, 2,     3735.4, -127.4,   0.25984, 0, 0, 0, 0, 0, 0, 0, 0
"852", 24.9, 1,    26.8433,   48.2, 0.0018672, 2,    32.1278,  -96.0, 0.0022348, 3,    15374.5,  121.9,    1.0695
"864", 24.9, 1,     14.173,   92.3, 0.00098588, 0, 0, 0, 0, 0, 0, 0, 0
"838", 24.9, 2,    20.3627,   81.7, 0.0014164, 0, 0, 0, 0, 0, 0, 0, 0
"890", 4.16, 1,    159.709,  161.1,  0.066496, 2,    162.409,  161.2,   0.06762, 3,    2389.01,  124.0,   0.99468
